0 , 30.8148, 44 , 22 , 0
3 , 23.8987, 55 , 26 , 11
28 , 21.2117, 105 , 51 , 57
31 , 20.3227, 110 , 51 , 62
41 , 19.4638, 140 , 63 , 92
63 , 18.1772, 186 , 80 , 134
120 , 17.2516, 266 , 120 , 209
132 , 15.9485, 272 , 123 , 214
1588 , 15.8589, 1507 , 857 , 1280
2317 , 15.759, 1894 , 1083 , 1610
3170 , 15.2952, 2321 , 1334 , 1968
4886 , 14.8573, 3007 , 1739 , 2543
7536 , 14.723, 3923 , 2228 , 3305
9795 , 14.6367, 4521 , 2572 , 3809
15699 , 14.5639, 5913 , 3353 , 4980
16059 , 14.51, 5987 , 3391 , 5044
18710 , 14.4709, 6506 , 3693 , 5481
31896 , 14.4535, 8631 , 4960 , 7306
34070 , 13.9925, 8959 , 5139 , 7576
34675 , 13.4438, 9052 , 5183 , 7654
